Sucursal,Zona,MAC,FECHA,X,Y,,,,,,,,,,,
922784,Hogar Muebles,9C2EA1B9AA55,14/03/2021 21:08:00,23.1123723,26.79540622,9C2EA1,9C,9C2E,2E,A1,B9,AA,55,AA55,B9AA55,9C:2E:A1:B9:AA:55
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.24363397,15.85044953,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,ITK,A0D807642DFA,15/03/2021 17:43:00,10.40425871,6.518850892,A0D807,A0,A0D8,D8,07,64,2D,FA,2DFA,642DFA,A0:D8:07:64:2D:FA
922784,ITK,34F150053B5E,16/03/2021 14:29:00,17.54983752,7.982109352,34F150,34,34F1,F1,50,05,3B,5E,3B5E,053B5E,34:F1:50:05:3B:5E
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,14.4587632,7.34912485,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,12.78855061,14.21468417,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.08724627,17.3635005,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,Linea Blanca Lavadoras,04D3950742E4,15/03/2021 12:03:00,23.89958131,19.17915904,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,12.51617775,13.33554006,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Banco Asesores,DC74A873385D,16/03/2021 21:52:00,6.245144478,11.5828748,DC74A8,DC,DC74,74,A8,73,38,5D,385D,73385D,DC:74:A8:73:38:5D
